Date,Price,Log_Returns
2025-07-08,25522.5,0.240073306
2025-07-09,25476.09961,-0.181967363
2025-07-10,25355.25,-0.475493324
2025-07-11,25149.84961,-0.813389241
2025-07-14,25082.30078,-0.268946753
2025-07-15,25195.80078,0.451489572
2025-07-16,25212.05078,0.064474085
2025-07-17,25111.44922,-0.399819951
2025-07-18,24968.40039,-0.571284532
2025-07-21,25090.69922,0.488618742
2025-07-22,25060.90039,-0.11883502
2025-07-23,25219.90039,0.632450269
2025-07-24,25062.09961,-0.627665166
2025-07-25,24837,-0.902225243
2025-07-28,24680.90039,-0.630479585
2025-07-29,24821.09961,0.566440118
2025-07-30,24855.05078,0.136690049
2025-07-31,24768.34961,-0.349436997
2025-08-01,24565.34961,-0.822971514
2025-08-04,24722.75,0.638697483
2025-08-05,24649.55078,-0.296519592
2025-08-06,24574.19922,-0.306159613
2025-08-07,24596.15039,0.08928622
2025-08-08,24363.30078,-0.951200879
2025-08-11,24585.05078,0.906063269
2025-08-12,24487.40039,-0.39798509
2025-08-13,24619.34961,0.537398774
2025-08-14,24631.30078,0.048532038
2025-08-18,24876.94922,0.992361691
2025-08-19,24980.65039,0.415990029
2025-08-20,25050.55078,0.279427375
2025-08-21,25083.75,0.132441155
2025-08-22,24870.09961,-0.855396311
2025-08-25,24967.75,0.391872909
2025-08-26,24712.05078,-1.029398157
2025-08-28,24500.90039,-0.858114302
2025-08-29,24426.84961,-0.302694638
2025-09-01,24625.05078,0.80813281
2025-09-02,24579.59961,-0.184743452
2025-09-03,24715.05078,0.549558671
2025-09-04,24734.30078,0.077857446
2025-09-05,24741,0.027081063
2025-09-08,24773.15039,0.129863463
2025-09-09,24868.59961,0.384552665
2025-09-10,24973.09961,0.419328212
2025-09-11,25005.5,0.129657075
2025-09-12,25114,0.43296589
2025-09-15,25069.19922,-0.178548972
2025-09-16,25239.09961,0.675439403
2025-09-17,25330.25,0.360496981
2025-09-18,25423.59961,0.367852746
2025-09-19,25327.05078,-0.380483576
2025-09-22,25202.34961,-0.493579675
2025-09-23,25169.5,-0.130428461
2025-09-24,25056.90039,-0.448368974
2025-09-25,24890.84961,-0.664900393
2025-09-26,24654.69922,-0.953273037
2025-09-29,24634.90039,-0.080336742
2025-09-30,24611.09961,-0.096660777
2025-10-01,24836.30078,0.910877932
2025-10-03,24894.25,0.233052898
2025-10-06,25077.65039,0.734017368
2025-10-07,25108.30078,0.122147309
2025-10-08,25046.15039,-0.247836118
2025-10-09,25181.80078,0.540140369
2025-10-10,25285.34961,0.410361879
2025-10-13,25227.34961,-0.229645322
2025-10-14,25145.5,-0.324975387
2025-10-15,25323.55078,0.705586957
2025-10-16,25585.30078,1.028317467
2025-10-17,25709.84961,0.485617342
2025-10-20,25843.15039,0.517141886
2025-10-21,25868.59961,0.098427227
2025-10-23,25891.40039,0.088101943
2025-10-24,25795.15039,-0.372437742
2025-10-27,25966.05078,0.660344072
2025-10-28,25936.19922,-0.115029949
2025-10-29,26053.90039,0.452783795
2025-10-30,25877.84961,-0.678010873
2025-10-31,25722.09961,-0.603684598
2025-11-03,25763.34961,0.160239483
2025-11-04,25597.65039,-0.645235855
2025-11-06,25509.69922,-0.344182429
2025-11-07,25492.30078,-0.068226494
2025-11-10,25574.34961,0.321340437
2025-11-11,25694.94922,0.470456334
2025-11-12,25875.80078,0.701375504
2025-11-13,25879.15039,0.012944112
2025-11-14,25910.05078,0.119331419
2025-11-17,26013.44922,0.398272744
2025-11-18,25910.05078,-0.398272744
2025-11-19,26052.65039,0.548855098
2025-11-20,26192.15039,0.5340257
2025-11-21,26068.15039,-0.474548485
2025-11-24,25959.5,-0.417664637
2025-11-25,25884.80078,-0.288167723
2025-11-26,26205.30078,1.230575617
2025-11-27,26215.55078,0.039106576
2025-11-28,26202.94922,-0.048080593
2025-12-01,26175.75,-0.103856039
2025-12-02,26032.19922,-0.549920635
2025-12-03,25986,-0.177627183
2025-12-04,26033.75,0.183584171
2025-12-05,26186.44922,0.584829841
2025-12-08,25960.55078,-0.866396343
2025-12-09,25839.65039,-0.46679591
2025-12-10,25758,-0.316489058
2025-12-11,25898.55078,0.544175428
2025-12-12,26046.94922,0.571363607
2025-12-15,26027.30078,-0.075463164
2025-12-16,25860.09961,-0.644479197
2025-12-17,25818.55078,-0.160796912
2025-12-18,25815.55078,-0.011620227
2025-12-19,25966.40039,0.582635581
2025-12-22,26172.40039,0.79020257
2025-12-23,26177.15039,0.018147243
2025-12-24,26142.09961,-0.133988108
2025-12-26,26042.30078,-0.382485758
2025-12-29,25942.09961,-0.385505249
2025-12-30,25938.84961,-0.012528684
2025-12-31,26129.59961,0.732692662
